"№ организации п/п","№ торгового объекта организации п/п","Полное наименование организации розничной торговли","Сокращеенное наименование лицензиата розничной торговли",ИНН,ОГРН,"Адрес организации розничной торговли","Адрес обособленного подразделения организации розничной торговли","КПП обособленного подразделения","Приказ Минпромторга России о включении организации розничной торговли в Перечень","Дата включения организации розничной торговли в Перечень"
51,5,"Общество с ограниченной ответственностью ""Ойшо СНГ""","ООО ""Ойшо СНГ""",7717574107,1067760098856,,"Самарская область, г. Самара, п. Мехзавод, 24-й километр, д. 5",631345001,"от 25.05.2018 №2007",28.05.2018
51,6,"Общество с ограниченной ответственностью ""Ойшо СНГ""","ООО ""Ойшо СНГ""",7717574107,1067760098856,,"Свердловская область, г. Екатеринбург, ул. 8 Марта, д. 46",667145001,"от 25.05.2018 №2007",28.05.2018
52,1,"Общество с ограниченной ответственностью ""АДЛОН СТАНДАРТ""","ООО ""АДЛОН СТАНДАРТ""",7718173250,1027700510914,"г. Москва, Третьяковский проезд д. 1/19-21",,,"от 25.04.2018 №1667",26.04.2018
53,1,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445001,"от 25.05.2018 №2007",28.05.2018
53,2,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"Московская область, г. Красногорск, ул. Международная, д. 8",502445002,"от 25.05.2018 №2007",28.05.2018
53,3,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"г. Москва, ул. Новый Арбат, 19",770445001,"от 25.05.2018 №2007",28.05.2018
53,4,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"г. Москва, ул. Петровка, д. 2, строение 2",770745003,"от 25.05.2018 №2007",28.05.2018
53,5,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"г. Москва, ул. Петровка, д. 2, строение 2",770745004,"от 25.05.2018 №2007",28.05.2018
53,6,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"г. Москва, ул. Петровка, д. 2, строение 2",770745006,"от 25.05.2018 №2007",28.05.2018
53,7,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"г. Москва, ул. Петровка, д. 2, строение 2",770745007,"от 25.05.2018 №2007",28.05.2018
53,8,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"г. Москва, ул. Петровка, д. 2, строение 2",770745011,"от 25.05.2018 №2007",28.05.2018
53,9,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"г. Москва, Красная пл., д. 3",771045001,"от 25.05.2018 №2007",28.05.2018
53,10,"Общество с ограниченной ответственностью ""Прада Рус""","ООО ""Прада Рус""",7718729515,5087746377120,,"г. Москва, Красная пл., д. 3",771045002,"от 25.05.2018 №2007",28.05.2018
54,1,"Общество с ограниченной ответственностью ""Икстрим""","ООО ""Икстрим""",7723875857,1137746535717,,"г. Казань, пр. Победы, д. 141",166045001,"от 23.07.2018 №2885",
54,2,"Общество с ограниченной ответственностью ""Икстрим""","ООО ""Икстрим""",7723875857,1137746535717,,"г. Казань, пр. Победы, д. 91",166045002,"от 23.07.2018 №2885",
54,3,"Общество с ограниченной ответственностью ""Икстрим""","ООО ""Икстрим""",7723875857,1137746535717,,"г. Красногорск, ул. Международная, д. 12",502445001,"от 23.07.2018 №2885",
54,4,"Общество с ограниченной ответственностью ""Икстрим""","ООО ""Икстрим""",7723875857,1137746535717,,"г. Екатеринбург, ул. 8 марта, д. 46",667145001,"от 23.07.2018 №2885",
55,1,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Саранск, ул. Советская, д. 55А",132645001,"от 23.07.2018 №2885",
55,2,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Саранск, ул. Волгоградская, д. 71",132845001,"от 23.07.2018 №2885",
55,3,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Казань, ул. Петербургская, д. 1",165532002,"от 23.07.2018 №2885",
55,4,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Казань, пр. Ямашева, д. 46/33",165745002,"от 23.07.2018 №2885",
55,5,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Казань, пр. Победы, д. 141",166032002,"от 23.07.2018 №2885",
55,6,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Волгоград, ул. Рабоче-Крестьянская, д. 9Б",344545001,"от 23.07.2018 №2885",
55,7,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Калининград, ул. Генерал-лейтенанта Озерова, д. 17Б",390632001,"от 23.07.2018 №2885",
55,8,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Калининград, ул. Театральная, д. 30",390645001,"от 23.07.2018 №2885",
55,9,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Красногорск, ул. Международная, д. 12",502445003,"от 23.07.2018 №2885",
55,10,"Открытое акционерное общество ""Московский ювелирный завод""","ОАО ""МЮЗ""",7724181241,1027700201902,,"г. Нижний Новгород, ул. Бетанкура, д. 1",525745002,"от 23.07.2018 №2885",
